contact_id,account_id,first_name,last_name,title,seniority,role_flag,email,email_domain,last_activity_at
CON-4INQJOXH,ACC-JVR09L5N,Avery,Jackson,VP IT,VP,Decision_Maker,avery.jackson@meta.com,meta.com,2024-04-30T00:22:59.131511
CON-DXV7M13E,ACC-JVR09L5N,Arjun,Lopez,IT Manager,Manager,Decision_Influencer,arjun.lopez@meta.com,meta.com,2025-04-18T19:07:56.131511
CON-0FH1XW4Y,ACC-W3NTNI71,Casey,Khan,Director of IT,Director,Decision_Maker,casey.khan@netflix.com,netflix.com,2025-09-25T12:03:03.131511
CON-NTMCE7RK,ACC-W3NTNI71,Jack,Wilson,VP IT,VP,Decision_Maker,jack.wilson@netflix.com,netflix.com,2023-03-05T00:14:08.131511
CON-P4I5N26L,ACC-W3NTNI71,Sam,Kim,Security Architect,Director,Decision_Influencer,sam.kim@netflix.com,netflix.com,2025-04-02T14:07:05.131511
CON-PHLR1UQ8,ACC-W3NTNI71,Ethan,Hall,Sales Ops Manager,Manager,User,ethan.hall@netflix.com,netflix.com,2023-04-04T16:05:30.131511
CON-K1PZFNOR,ACC-D6JTOQSD,Jamie,Lee,Systems Admin,IC,User,jamie.lee@adobe.com,adobe.com,2025-04-20T16:57:21.131511
CON-H88L3SX5,ACC-D6JTOQSD,Avery,Patel,VP Security,VP,Decision_Maker,avery.patel@adobe.com,adobe.com,2023-11-17T07:13:05.131511
CON-8PRMZR7W,ACC-D6JTOQSD,Taylor,Jones,VP Security,VP,Decision_Maker,taylor.jones@adobe.com,adobe.com,2024-10-27T03:52:57.131511
CON-ILPETS0I,ACC-D6JTOQSD,Arjun,Jackson,GRC Manager,Manager,Decision_Influencer,arjun.jackson@adobe.com,adobe.com,2023-02-25T09:18:05.131511
CON-KKWOKDRN,ACC-6SYGL6XK,Luca,Lewis,Security Engineer,IC,Decision_Influencer,luca.lewis@salesforce.com,salesforce.com,2024-05-28T04:39:29.131511
CON-Z5UUL6ZR,ACC-6SYGL6XK,Noah,Wilson,Security Architect,Director,Decision_Influencer,noah.wilson@salesforce.com,salesforce.com,2025-05-12T15:01:27.131511
CON-0CZVHS2Z,ACC-6SYGL6XK,Arjun,Kim,Risk Analyst,IC,Decision_Influencer,arjun.kim@salesforce.com,salesforce.com,2022-11-13T11:02:19.131511
CON-HJ9EQUWT,ACC-6SYGL6XK,Olivia,Garcia,IT Manager,Manager,Decision_Influencer,olivia.garcia@salesforce.com,salesforce.com,2025-02-06T10:01:06.131511
CON-678PR54W,ACC-1N4GCQBM,Jamie,Nguyen,Security Architect,Director,Decision_Influencer,jamie.nguyen@servicenow.com,servicenow.com,2022-12-18T15:24:03.131511
CON-42B0N93I,ACC-1N4GCQBM,Anika,Martin,Data Analyst,IC,User,anika.martin@servicenow.com,servicenow.com,2025-07-11T15:44:14.131511
CON-N83TXMNL,ACC-1N4GCQBM,Drew,Lee,CIO,C-Level,Decision_Maker,drew.lee@servicenow.com,servicenow.com,2025-03-28T02:26:32.131511
CON-2TXP74EY,ACC-1N4GCQBM,Drew,Wright,CIO,C-Level,Decision_Maker,drew.wright@servicenow.com,servicenow.com,2024-08-29T05:43:19.131511
CON-HBPMSIYB,ACC-9GHELTBL,Harper,Hernandez,VP IT,VP,Decision_Maker,harper.hernandez@snowflake.com,snowflake.com,2024-08-05T05:09:02.131511
CON-N9ENJCTU,ACC-9GHELTBL,Liam,Jackson,Risk Analyst,IC,Decision_Influencer,liam.jackson@snowflake.com,snowflake.com,2022-11-11T00:41:39.131511
CON-3NCWJWCQ,ACC-9GHELTBL,Maya,Moore,GRC Manager,Manager,Decision_Influencer,maya.moore@snowflake.com,snowflake.com,2023-07-05T22:28:51.131511
CON-0RZN2PGN,ACC-9GHELTBL,Kenji,Garcia,Security Architect,Director,Decision_Influencer,kenji.garcia@snowflake.com,snowflake.com,2024-09-08T04:22:49.131511
CON-WOVNAX3Q,ACC-ARE7Y1CT,Leo,Harris,Director of IT,Director,Decision_Maker,leo.harris@nvidia.com,nvidia.com,2024-10-16T07:23:20.131511
CON-WX2XQPTL,ACC-ARE7Y1CT,Nina,Moore,Risk Analyst,IC,Decision_Influencer,nina.moore@nvidia.com,nvidia.com,2025-10-11T03:42:39.131511
CON-0SGJ0LYR,ACC-ARE7Y1CT,Leo,Davis,Head of Security,Director,Decision_Maker,leo.davis@nvidia.com,nvidia.com,2025-10-03T20:59:47.131511
CON-14A6W2DB,ACC-ARE7Y1CT,Sam,Miller,Head of Security,Director,Decision_Maker,sam.miller@nvidia.com,nvidia.com,2024-09-29T19:33:26.131511
CON-2Y4RNNFY,ACC-01PEEA1B,Cameron,Patel,VP Security,VP,Decision_Maker,cameron.patel@amd.com,amd.com,2023-08-22T21:29:45.131511
CON-2SYBCBZ5,ACC-01PEEA1B,Noah,King,Security Architect,Director,Decision_Influencer,noah.king@amd.com,amd.com,2024-12-01T13:53:35.131511
CON-84PV0MHY,ACC-01PEEA1B,Riley,Khan,CIO,C-Level,Decision_Maker,riley.khan@amd.com,amd.com,2023-11-03T19:03:57.131511
CON-FL3VFOYE,ACC-01PEEA1B,Jamie,Walker,Sales Ops Manager,Manager,User,jamie.walker@amd.com,amd.com,2025-03-03T15:46:11.131511
CON-C0SNE9UN,ACC-E8YK5UW3,Omar,Moore,Director of IT,Director,Decision_Maker,omar.moore@intel.com,intel.com,2023-04-23T02:40:14.131511
CON-WU5JVA8U,ACC-E8YK5UW3,Cameron,Harris,CIO,C-Level,Decision_Maker,cameron.harris@intel.com,intel.com,2024-10-04T02:32:21.131511
CON-CTLM31M2,ACC-E8YK5UW3,Casey,Harris,Sales Ops Manager,Manager,User,casey.harris@intel.com,intel.com,2024-01-04T06:35:15.131511
CON-IJ9NITCN,ACC-E8YK5UW3,Mia,Khan,Security Architect,Director,Decision_Influencer,mia.khan@intel.com,intel.com,2023-08-07T21:19:14.131511
CON-SLJR9HXK,ACC-7VETKZS1,Kai,Singh,Security Engineer,IC,Decision_Influencer,kai.singh@cisco.com,cisco.com,2023-11-01T12:17:23.131511
CON-2SDP760U,ACC-7VETKZS1,Arjun,Kim,Director of IT,Director,Decision_Maker,arjun.kim@cisco.com,cisco.com,2025-05-09T00:18:54.131511
CON-FDVYVQEQ,ACC-7VETKZS1,Riley,Jackson,Director of IT,Director,Decision_Maker,riley.jackson@cisco.com,cisco.com,2023-04-02T10:52:08.131511
CON-MJCH7SOA,ACC-7VETKZS1,Olivia,Hernandez,VP Security,VP,Decision_Maker,olivia.hernandez@cisco.com,cisco.com,2023-08-01T22:51:27.131511
CON-CK1BGHZG,ACC-JOPRPAI7,Rowan,White,IT Manager,Manager,Decision_Influencer,rowan.white@oracle.com,oracle.com,2025-04-26T16:42:41.131511
CON-9WACAWVD,ACC-JOPRPAI7,Sam,Lee,CIO,C-Level,Decision_Maker,sam.lee@oracle.com,oracle.com,2023-05-17T19:52:28.131511
CON-9XN2XHOG,ACC-JOPRPAI7,Ava,Martinez,Data Analyst,IC,User,ava.martinez@oracle.com,oracle.com,2023-01-24T23:40:38.131511
CON-J7VJWVZO,ACC-JOPRPAI7,Min,Lee,Security Engineer,IC,Decision_Influencer,min.lee@oracle.com,oracle.com,2024-08-10T02:15:54.131511
CON-PGJQ9FNU,ACC-ZWKFSDH9,Sophia,Chen,IT Manager,Manager,Decision_Influencer,sophia.chen@workday.com,workday.com,2024-07-13T21:22:01.131511
CON-5MFG8M4O,ACC-ZWKFSDH9,Noah,Chen,CIO,C-Level,Decision_Maker,noah.chen@workday.com,workday.com,2023-10-16T07:03:58.131511
CON-B6S9WKCM,ACC-ZWKFSDH9,Ethan,Anderson,Security Engineer,IC,Decision_Influencer,ethan.anderson@workday.com,workday.com,2023-08-24T22:02:30.131511
CON-71CDG25D,ACC-ZWKFSDH9,Kai,Harris,CISO,C-Level,Decision_Maker,kai.harris@workday.com,workday.com,2025-10-05T16:05:14.131511
CON-YHRBZ9S6,ACC-5TS15M9L,Emma,White,Security Engineer,IC,Decision_Influencer,emma.white@atlassian.com,atlassian.com,2024-09-02T01:03:33.131511
CON-FVU5VQSJ,ACC-5TS15M9L,Drew,Wright,VP Security,VP,Decision_Maker,drew.wright@atlassian.com,atlassian.com,2025-10-02T05:13:26.131511
CON-6SBMX8K3,ACC-5TS15M9L,Kenji,Garcia,IT Manager,Manager,Decision_Influencer,kenji.garcia@atlassian.com,atlassian.com,2025-03-24T01:01:39.131511
CON-V2T5WNVG,ACC-5TS15M9L,Harper,Rodriguez,VP Security,VP,Decision_Maker,harper.rodriguez@atlassian.com,atlassian.com,2025-09-12T15:44:37.131511
CON-L3KZKBAE,ACC-8T3RQURY,Ava,Jones,IT Manager,Manager,Decision_Influencer,ava.jones@shopify.com,shopify.com,2022-12-23T21:02:58.131511
CON-BFV6C7OQ,ACC-8T3RQURY,Maya,Lee,VP IT,VP,Decision_Maker,maya.lee@shopify.com,shopify.com,2024-08-22T19:30:27.131511
CON-NFAC4A7G,ACC-8T3RQURY,Mateo,King,Security Architect,Director,Decision_Influencer,mateo.king@shopify.com,shopify.com,2023-03-11T00:05:35.131511
CON-HJ1R9QXL,ACC-8T3RQURY,Liam,Miller,GRC Manager,Manager,Decision_Influencer,liam.miller@shopify.com,shopify.com,2023-03-25T16:27:39.131511
CON-Q49H7S20,ACC-PM3P0GTG,Liam,Nguyen,Risk Analyst,IC,Decision_Influencer,liam.nguyen@block.com,block.com,2023-09-01T20:32:01.131511
CON-92EUALO7,ACC-PM3P0GTG,Kai,Nguyen,GRC Manager,Manager,Decision_Influencer,kai.nguyen@block.com,block.com,2025-05-18T20:51:24.131511
CON-HMIHDXRM,ACC-PM3P0GTG,Leo,Lewis,VP IT,VP,Decision_Maker,leo.lewis@block.com,block.com,2024-04-15T13:46:13.131511
CON-HTA35HSV,ACC-PM3P0GTG,Taylor,Hall,Data Analyst,IC,User,taylor.hall@block.com,block.com,2025-09-22T23:56:04.131511
CON-HW7IOOFS,ACC-FLCIX4DI,Drew,Lopez,VP Security,VP,Decision_Maker,drew.lopez@datadog.com,datadog.com,2023-03-05T14:14:06.131511
CON-18N2UZAA,ACC-FLCIX4DI,Jordan,White,CIO,C-Level,Decision_Maker,jordan.white@datadog.com,datadog.com,2024-01-18T13:07:30.131511
CON-T00ERE3U,ACC-FLCIX4DI,Min,Hall,IT Manager,Manager,Decision_Influencer,min.hall@datadog.com,datadog.com,2023-03-20T13:58:10.131511
CON-12PQZDH9,ACC-FLCIX4DI,Noah,White,Data Analyst,IC,User,noah.white@datadog.com,datadog.com,2024-05-24T03:07:40.131511
CON-P845P5GB,ACC-LAUOU61G,Rowan,King,Data Analyst,IC,User,rowan.king@stripe.com,stripe.com,2024-05-07T02:56:06.131511
CON-21ABZRZD,ACC-LAUOU61G,Ethan,Nguyen,Systems Admin,IC,User,ethan.nguyen@stripe.com,stripe.com,2025-10-10T00:05:56.131511
CON-KWI55U76,ACC-LAUOU61G,Emma,Williams,VP Security,VP,Decision_Maker,emma.williams@stripe.com,stripe.com,2024-05-06T18:59:46.131511
CON-T3BN0BC7,ACC-LAUOU61G,Priya,Wright,Director of IT,Director,Decision_Maker,priya.wright@stripe.com,stripe.com,2024-03-24T14:22:44.131511
CON-R43F6FSK,ACC-BSMIACQ5,Drew,Taylor,Director of IT,Director,Decision_Maker,drew.taylor@cloudflare.com,cloudflare.com,2024-05-06T01:20:19.131511
CON-5GMSTI2H,ACC-BSMIACQ5,Maya,Patel,CISO,C-Level,Decision_Maker,maya.patel@cloudflare.com,cloudflare.com,2023-03-15T12:44:05.131511
CON-J2IHNROU,ACC-BSMIACQ5,Leo,Hall,GRC Manager,Manager,Decision_Influencer,leo.hall@cloudflare.com,cloudflare.com,2025-04-25T06:14:25.131511
CON-KATOK9A0,ACC-BSMIACQ5,Kenji,Wright,VP Security,VP,Decision_Maker,kenji.wright@cloudflare.com,cloudflare.com,2023-11-24T03:26:01.131511
CON-6IUM876K,ACC-46SBVH4P,Noah,White,CIO,C-Level,Decision_Maker,noah.white@twilio.com,twilio.com,2023-01-22T15:48:05.131511
CON-Z1TFCZHG,ACC-46SBVH4P,Taylor,Hernandez,Systems Admin,IC,User,taylor.hernandez@twilio.com,twilio.com,2024-02-23T00:28:04.131511
CON-V7KLN5R9,ACC-46SBVH4P,Liam,Rodriguez,Head of Security,Director,Decision_Maker,liam.rodriguez@twilio.com,twilio.com,2024-11-30T18:39:51.131511
CON-RJ23I2EL,ACC-46SBVH4P,Diego,Miller,Director of IT,Director,Decision_Maker,diego.miller@twilio.com,twilio.com,2023-09-05T00:32:07.131511
CON-UANVK4AM,ACC-A2TWFLZN,Taylor,Miller,Security Engineer,IC,Decision_Influencer,taylor.miller@okta.com,okta.com,2025-04-25T18:54:44.131511
CON-8J7VQIYD,ACC-A2TWFLZN,Emma,Kim,IT Manager,Manager,Decision_Influencer,emma.kim@okta.com,okta.com,2023-11-28T02:32:47.131511
CON-WVI6GB4B,ACC-A2TWFLZN,Avery,Clark,Systems Admin,IC,User,avery.clark@okta.com,okta.com,2023-07-19T18:57:01.131511
CON-X37H8QDD,ACC-A2TWFLZN,Anika,Clark,Risk Analyst,IC,Decision_Influencer,anika.clark@okta.com,okta.com,2023-04-02T22:18:51.131511
CON-UABG7WW4,ACC-QAXOG37O,Diego,King,Head of Security,Director,Decision_Maker,diego.king@zoom.com,zoom.com,2023-10-08T19:25:55.131511
CON-BBU11555,ACC-QAXOG37O,Omar,Singh,Risk Analyst,IC,Decision_Influencer,omar.singh@zoom.com,zoom.com,2025-06-17T18:07:45.131511
CON-DZVMBUVJ,ACC-QAXOG37O,Riley,Young,Director of IT,Director,Decision_Maker,riley.young@zoom.com,zoom.com,2024-09-24T03:28:14.131511
CON-TRNMP4W2,ACC-QAXOG37O,Ava,Thomas,Head of Security,Director,Decision_Maker,ava.thomas@zoom.com,zoom.com,2024-10-14T20:08:53.131511
CON-0CN87Y3M,ACC-9NZ95MT7,Leo,Young,Director of IT,Director,Decision_Maker,leo.young@mongodb.com,mongodb.com,2024-07-03T09:39:05.131511
CON-F0JE5OF7,ACC-9NZ95MT7,Olivia,Davis,Head of Security,Director,Decision_Maker,olivia.davis@mongodb.com,mongodb.com,2025-01-13T18:50:42.131511
CON-Y8MIU6VL,ACC-9NZ95MT7,Jamie,Wright,Security Engineer,IC,Decision_Influencer,jamie.wright@mongodb.com,mongodb.com,2023-05-14T02:10:18.131511
CON-K9HV3D7Y,ACC-9NZ95MT7,Kenji,Martinez,Director of IT,Director,Decision_Maker,kenji.martinez@mongodb.com,mongodb.com,2024-01-01T04:16:01.131511
CON-9QEW040W,ACC-K4R6ZK8F,Liam,Lopez,IT Manager,Manager,Decision_Influencer,liam.lopez@palantir.com,palantir.com,2024-10-16T18:36:29.131511
CON-D0T9VQL7,ACC-K4R6ZK8F,Isla,White,Data Analyst,IC,User,isla.white@palantir.com,palantir.com,2023-06-21T04:51:41.131511
CON-UY8FH7VJ,ACC-K4R6ZK8F,Noah,Anderson,Sales Ops Manager,Manager,User,noah.anderson@palantir.com,palantir.com,2025-05-16T00:16:08.131511
CON-D5IK6OJZ,ACC-K4R6ZK8F,Leo,Harris,Security Engineer,IC,Decision_Influencer,leo.harris@palantir.com,palantir.com,2024-01-03T07:36:24.131511
CON-C2OA3LU8,ACC-YWU0IGRR,Yara,Jones,Data Analyst,IC,User,yara.jones@uber.com,uber.com,2024-03-13T05:07:05.131511
CON-QCEEDX30,ACC-YWU0IGRR,Jordan,Martin,CIO,C-Level,Decision_Maker,jordan.martin@uber.com,uber.com,2023-03-11T14:54:00.131511
CON-TLV5SKNV,ACC-YWU0IGRR,Jack,Anderson,IT Manager,Manager,Decision_Influencer,jack.anderson@uber.com,uber.com,2023-10-29T21:44:32.131511
CON-URXN6GYP,ACC-YWU0IGRR,Omar,Jackson,VP Security,VP,Decision_Maker,omar.jackson@uber.com,uber.com,2025-07-21T07:09:58.131511
CON-DU2RTWI4,ACC-J7CUX2NT,Sophia,Williams,GRC Manager,Manager,Decision_Influencer,sophia.williams@airbnb.com,airbnb.com,2023-05-21T01:12:44.131511
CON-LKHWW3VY,ACC-J7CUX2NT,Ava,Brown,Security Architect,Director,Decision_Influencer,ava.brown@airbnb.com,airbnb.com,2023-11-05T06:22:28.131511
CON-MDJI7SQB,ACC-J7CUX2NT,Priya,Moore,VP IT,VP,Decision_Maker,priya.moore@airbnb.com,airbnb.com,2024-07-27T02:03:27.131511
CON-ONM66FDD,ACC-J7CUX2NT,Olivia,Martinez,Risk Analyst,IC,Decision_Influencer,olivia.martinez@airbnb.com,airbnb.com,2025-07-14T18:31:24.131511
CON-VLKTXSSI,ACC-VOS360GB,Priya,Patel,CIO,C-Level,Decision_Maker,priya.patel@spotify.com,spotify.com,2023-02-20T12:55:04.131511
CON-M0XH72MB,ACC-VOS360GB,Drew,Miller,Systems Admin,IC,User,drew.miller@spotify.com,spotify.com,2024-04-28T02:27:59.131511
CON-LRLRYFZF,ACC-VOS360GB,Diego,Garcia,CISO,C-Level,Decision_Maker,diego.garcia@spotify.com,spotify.com,2024-01-05T01:27:18.131511
CON-1HKM7A85,ACC-VOS360GB,Omar,Jones,VP Security,VP,Decision_Maker,omar.jones@spotify.com,spotify.com,2025-08-23T04:09:00.131511
CON-YH41CTRM,ACC-G3LA6F9E,Yara,Singh,VP IT,VP,Decision_Maker,yara.singh@red-hat.com,red-hat.com,2025-06-16T00:49:27.131511
CON-PDE3X0IW,ACC-G3LA6F9E,Kenji,Hall,CIO,C-Level,Decision_Maker,kenji.hall@red-hat.com,red-hat.com,2024-01-13T17:59:01.131511
CON-7Q98B6UV,ACC-G3LA6F9E,Morgan,Garcia,VP IT,VP,Decision_Maker,morgan.garcia@red-hat.com,red-hat.com,2024-05-13T21:22:12.131511
CON-ODEMDYWG,ACC-G3LA6F9E,Riley,Anderson,CISO,C-Level,Decision_Maker,riley.anderson@red-hat.com,red-hat.com,2023-03-24T13:09:05.131511
CON-4XCWSUNN,ACC-MUI378CT,Avery,Thompson,VP IT,VP,Decision_Maker,avery.thompson@splunk.com,splunk.com,2025-04-29T11:03:42.131511
CON-PJFTHWHR,ACC-MUI378CT,Mia,King,VP IT,VP,Decision_Maker,mia.king@splunk.com,splunk.com,2025-05-24T21:49:37.131511
CON-YKIMY4HC,ACC-MUI378CT,Kenji,Moore,Director of IT,Director,Decision_Maker,kenji.moore@splunk.com,splunk.com,2024-03-25T05:19:31.131511
CON-IM8TYZMT,ACC-MUI378CT,Kenji,Clark,GRC Manager,Manager,Decision_Influencer,kenji.clark@splunk.com,splunk.com,2023-04-17T13:58:37.131511
CON-AMBHL1UO,ACC-UTP2JX8I,Isla,Singh,Security Engineer,IC,Decision_Influencer,isla.singh@hashicorp.com,hashicorp.com,2025-01-07T23:49:04.131511
CON-BMV55WWG,ACC-UTP2JX8I,Luca,Hernandez,Sales Ops Manager,Manager,User,luca.hernandez@hashicorp.com,hashicorp.com,2024-10-09T08:48:34.131511
CON-Y84T1BD8,ACC-UTP2JX8I,Riley,Chen,VP Security,VP,Decision_Maker,riley.chen@hashicorp.com,hashicorp.com,2024-05-05T03:24:06.131511
CON-79AKW7RF,ACC-UTP2JX8I,Maya,Davis,GRC Manager,Manager,Decision_Influencer,maya.davis@hashicorp.com,hashicorp.com,2025-04-27T23:39:57.131511
CON-XX7XJPWA,ACC-Z0VPLF0A,Maya,Jones,Risk Analyst,IC,Decision_Influencer,maya.jones@elastic.com,elastic.com,2025-07-18T11:17:55.131511
CON-Z3ZK40JO,ACC-Z0VPLF0A,Noah,Nguyen,IT Manager,Manager,Decision_Influencer,noah.nguyen@elastic.com,elastic.com,2024-10-22T03:27:24.131511
CON-L9XOGAH5,ACC-Z0VPLF0A,Mia,Nguyen,Systems Admin,IC,User,mia.nguyen@elastic.com,elastic.com,2025-01-04T02:41:49.131511
CON-Z82AF0LS,ACC-Z0VPLF0A,Arjun,Taylor,CISO,C-Level,Decision_Maker,arjun.taylor@elastic.com,elastic.com,2023-12-26T06:30:33.131511
CON-UHYHSCO5,ACC-IGRDOUXY,Kenji,Brown,VP Security,VP,Decision_Maker,kenji.brown@github.com,github.com,2023-10-23T15:41:09.131511
CON-P0MLVKAD,ACC-IGRDOUXY,Casey,Moore,Risk Analyst,IC,Decision_Influencer,casey.moore@github.com,github.com,2023-04-19T21:26:44.131511
CON-S3KKL2GB,ACC-IGRDOUXY,Leo,Kim,VP Security,VP,Decision_Maker,leo.kim@github.com,github.com,2023-01-24T09:14:37.131511
CON-7KKZMUO9,ACC-IGRDOUXY,Sophia,Jones,Sales Ops Manager,Manager,User,sophia.jones@github.com,github.com,2023-06-03T04:36:58.131511
CON-8YVSMA03,ACC-33JJF1YS,Harper,Hall,Data Analyst,IC,User,harper.hall@gitlab.com,gitlab.com,2025-05-07T13:45:15.131511
CON-TEMWCBR0,ACC-33JJF1YS,Omar,Clark,GRC Manager,Manager,Decision_Influencer,omar.clark@gitlab.com,gitlab.com,2025-05-29T18:11:27.131511
CON-Y2LAM0X3,ACC-33JJF1YS,Ethan,Jones,Head of Security,Director,Decision_Maker,ethan.jones@gitlab.com,gitlab.com,2025-07-01T16:09:19.131511
CON-YOJ4GN75,ACC-33JJF1YS,Arjun,Garcia,CISO,C-Level,Decision_Maker,arjun.garcia@gitlab.com,gitlab.com,2023-08-10T14:50:42.131511
CON-HEHDRX4O,ACC-GBQ49JQI,Kai,Martin,Head of Security,Director,Decision_Maker,kai.martin@digitalocean.com,digitalocean.com,2023-07-03T00:35:31.131511
CON-PM6S8LOG,ACC-GBQ49JQI,Kai,Brown,CISO,C-Level,Decision_Maker,kai.brown@digitalocean.com,digitalocean.com,2024-05-16T06:49:29.131511
CON-VQDDIRM8,ACC-GBQ49JQI,Diego,Brown,CISO,C-Level,Decision_Maker,diego.brown@digitalocean.com,digitalocean.com,2025-07-26T14:34:24.131511
CON-EU20K1IZ,ACC-GBQ49JQI,Quinn,Khan,Director of IT,Director,Decision_Maker,quinn.khan@digitalocean.com,digitalocean.com,2025-04-26T05:30:34.131511
CON-VWZ1ZIO8,ACC-722OPO3H,Quinn,Lee,Head of Security,Director,Decision_Maker,quinn.lee@dropbox.com,dropbox.com,2022-12-12T04:47:46.131511
CON-L99PJ8QJ,ACC-722OPO3H,Mateo,Kim,Director of IT,Director,Decision_Maker,mateo.kim@dropbox.com,dropbox.com,2023-09-21T08:11:00.131511
CON-9N3USC99,ACC-722OPO3H,Avery,Miller,IT Manager,Manager,Decision_Influencer,avery.miller@dropbox.com,dropbox.com,2025-06-05T02:54:37.131511
CON-RIIOKIY5,ACC-722OPO3H,Alex,Brown,GRC Manager,Manager,Decision_Influencer,alex.brown@dropbox.com,dropbox.com,2024-10-18T04:43:02.131511
CON-V25STQBK,ACC-WBQXYDW3,Yara,Wong,Risk Analyst,IC,Decision_Influencer,yara.wong@docusign.com,docusign.com,2023-11-28T10:39:35.131511
CON-2YNAC2XJ,ACC-WBQXYDW3,Olivia,Anderson,Data Analyst,IC,User,olivia.anderson@docusign.com,docusign.com,2024-02-23T20:34:57.131511
CON-45PYZJ6L,ACC-WBQXYDW3,Arjun,Kim,Data Analyst,IC,User,arjun.kim@docusign.com,docusign.com,2023-12-01T09:31:03.131511
CON-YFDZFF2E,ACC-WBQXYDW3,Leo,Khan,CIO,C-Level,Decision_Maker,leo.khan@docusign.com,docusign.com,2025-04-05T19:42:53.131511
CON-Q7XLDFGT,ACC-7Q4SDFI8,Casey,Patel,CISO,C-Level,Decision_Maker,casey.patel@slack.com,slack.com,2024-08-16T13:13:12.131511
CON-JRQ1IXZY,ACC-7Q4SDFI8,Olivia,Anderson,Sales Ops Manager,Manager,User,olivia.anderson@slack.com,slack.com,2023-08-11T19:01:17.131511
CON-KMZX0L8S,ACC-7Q4SDFI8,Liam,King,VP IT,VP,Decision_Maker,liam.king@slack.com,slack.com,2022-11-02T19:59:43.131511
CON-XJ64JULD,ACC-7Q4SDFI8,Riley,Anderson,VP Security,VP,Decision_Maker,riley.anderson@slack.com,slack.com,2024-06-04T04:04:05.131511
CON-TQ8IRDP9,ACC-NOKZHFT7,Yara,Nguyen,Security Engineer,IC,Decision_Influencer,yara.nguyen@tableau.com,tableau.com,2023-11-21T19:28:51.131511
CON-J5VLIFC0,ACC-NOKZHFT7,Riley,Thomas,IT Manager,Manager,Decision_Influencer,riley.thomas@tableau.com,tableau.com,2023-06-29T22:13:28.131511
CON-X54JLCD7,ACC-NOKZHFT7,Omar,Martin,VP IT,VP,Decision_Maker,omar.martin@tableau.com,tableau.com,2024-04-13T11:40:14.131511
CON-9L3IEBYV,ACC-NOKZHFT7,Arjun,Davis,Security Engineer,IC,Decision_Influencer,arjun.davis@tableau.com,tableau.com,2025-01-21T08:30:27.131511
